City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,
PULWAMA,1050302103,2015-16,BPS KANILBAGH,KAKAPORA,LELHAR,BANDERPORA,Jammu and Kashmir,192122,,,,,,,,,,
PULWAMA,1050102901,2015-16,GPS PADGAMPORA,AWANTIPORA,JAWBHARA,PADGAMPORA,Jammu and Kashmir,192122,,,,,,,,,,
PULWAMA,1051003101,2015-16,UPS MALPORA,TAHAB,CHANDGAM,NOWHAR MALPORA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050705052,2015-16,PS SHEIKH MOHALLA UTHMULLA,PULWAMA,HAWAL,UTHMULA,Jammu and Kashmir,192302,,,,,,,,,,
PULWAMA,1050303301,2015-16,BPS NAMAN,KAKAPORA,LERVE,NAMAN,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050303302,2015-16,GPS NAMAN,KAKAPORA,LERVE,NAMAN,Jammu and Kashmir,192304,,,,,,,,,,
PULWAMA,1050303401,2015-16,GPS PINGALGAM,KAKAPORA,LERVE,PINGALGAM,Jammu and Kashmir,192301,,,,,,,,,,
SHOPIAN,1150204001,2015-16,GUPS GUNDI DARVESH,IMAMSAHAIB,HANDEW,GUNDI DARVESH,Jammu and Kashmir,192232,,,,,,,,,,
SHOPIAN,1150204002,2015-16,PUBLIC MODEL SCHOOL GUNDIDARVESH,IMAMSAHAIB,HANDEW,GUNDI DARVESH,Jammu and Kashmir,192232,,,,ChIJq6qqqmrw4TgRMrMONPE32-M,C,City,shopian,Masjid Shareef,"Saidpora Pain, Near Public Model School, Shopian, Jammu and Kashmir 192303",
SHOPIAN,1150204201,2015-16,GPS GUNCHIPORA,IMAMSAHAIB,TRENZ,GUNCHIPORA,Jammu and Kashmir,192303,,,,,,,,,,
SHOPIAN,1150204301,2015-16,BMS HANDEW,IMAMSAHAIB,HANDEW,HARDOO HANDEW,Jammu and Kashmir,192303,,,,,,,,,,
PULWAMA,1050701901,2015-16,GOVT GMS KARIMABAD,PULWAMA,KARIMABAD,KARIMABAD,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050706304,2015-16,SAADI KIDS WORLD,PULWAMA,PRICHOO,WARD NO7,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050701902,2015-16,MORNING STAR PUB. SCH. KARIMAB,PULWAMA,KARIMABAD,KARIMABAD,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050701922,2015-16,HS KARIMABAD,PULWAMA,KARIMABAD,KARIMABAD,Jammu and Kashmir,192301,,,,ChIJQ5PDDZz04TgRNaZcVIz7cOw,A,Street Address,karimabad,Government Boys High School,Karimabad 192301,
PULWAMA,1050701852,2015-16,PS NEW COLONY KANGAN,PULWAMA,MURAN,KANGAN,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1051003102,2015-16,PS NOWHAR,TAHAB,CHANDGAM,NOWHAR MALPORA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1051003201,2015-16,BMS NOWNAGRI,TAHAB,CHANDGAM,NOWNAGRI,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1051003202,2015-16,BPS BADRIWAN,TAHAB,REINZIPORA,NOWNAGRI,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1051003203,2015-16,PS HATHKUL,TAHAB,REINZIPORA,NOWNAGRI,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050103001,2015-16,PS LARKIPORA A,AWANTIPORA,JAWBHARA,LARKIPORA,Jammu and Kashmir,192122,,,,,,,,,,
PULWAMA,1050303501,2015-16,UPS QAZIGUND,KAKAPORA,LERVE,QAZIGUND,Jammu and Kashmir,192304,,,,ChIJDZ0XYPX04TgRfdmMJPEEyDg,C,City,pulwama,Government Degree College,"Newa Road, Pulwama, Jammu and Kashmir 192301",
PULWAMA,1050303601,2015-16,BMS SINGOO NARBAL,KAKAPORA,LERVE,SINGOO NARBAL,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050303602,2015-16,BPS NARBAL,KAKAPORA,LERVE,SINGOO NARBAL,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050303603,2015-16,P/S SINGOO,KAKAPORA,LERVE,SINGOO NARBAL,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050303701,2015-16,BPS URWAN,KAKAPORA,LERVE,URWAN,Jammu and Kashmir,192301,,,,,,,,,,
SHOPIAN,1150204302,2015-16,MOHAMADIYA HIGH SCHOOL HANDEW,IMAMSAHAIB,HANDEW,HARDOO HANDEW,Jammu and Kashmir,192303,,,,ChIJZ2vH_l764TgRkJ_b8y9Y22U,B,Pincode,192303,Mohammadiya Institution Shopian,"Tak Mohalla, Jammu and Kashmir 192303",
SHOPIAN,1150204303,2015-16,PS BONAPORA,IMAMSAHAIB,HANDEW,HARDOO HANDEW,Jammu and Kashmir,192303,,,,,,,,,,
SHOPIAN,1150204501,2015-16,HS HEFF,IMAMSAHAIB,MELHURA,HEFF,Jammu and Kashmir,192305,,,,,,,,,,
SHOPIAN,1150204502,2015-16,PUBLIC MODEL SCHOOL HEFF,IMAMSAHAIB,ZANAPORA,HEFF,Jammu and Kashmir,192305,,,,ChIJq6qqqmrw4TgRMrMONPE32-M,C,City,shopian,Masjid Shareef,"Saidpora Pain, Near Public Model School, Shopian, Jammu and Kashmir 192303",
SHOPIAN,1150204503,2015-16,PS HEFF,IMAMSAHAIB,MELHURA,HEFF,Jammu and Kashmir,192305,,,,ChIJhUAKJSr24TgROZ26oHrK65g,B,Pincode,192305,Modern Public School Achan,"Block B Near Markazi Jamia Masjid Achan, Achhan, Chitragam, 192305",
PULWAMA,1050700602,2015-16,GMS BONEERA,PULWAMA,BONORA,BOONERA,Jammu and Kashmir,192301,,,,,,,,,,
PULWAMA,1050706404,2015-16,BRISTOL HALL KIDS,PULWAMA,PRICHOO,WARD NO5,Jammu and Kashmir,192301,,,,,,,,,,
