City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,,
MON,13010800402,2015-16,"SAYEANG MIDDLE SCHOOL, SHIYONG",WAKCHING,DUMMY,SHIYONG,Nagaland,798621,,,,,,,,,,,
MON,13010800403,2015-16,GMS SHIYONG,WAKCHING,DUMMY,SHIYONG,Nagaland,798621,,,,,,,,,,,
KOHIMA,13070200409,2015-16,JAPFU CHRISTIAN COLLEGE,VISWEMA,DUMMY,KIGWEMA VILLAGE,Nagaland,797001,,,,ChIJCXDaLdWfSDcRKDPJvNGrWSg,B,Pincode,797001,"Japfü Christian College, Kigwema","National Highway number 39, Kigwema, Nagaland 797001, India",,
KOHIMA,13070200501,2015-16,GMS PFUCHAMA,VISWEMA,DUMMY,PFÜCHAMA VILLAGE,Nagaland,797127,,,,,,,,,,,
KOHIMA,13070200601,2015-16,GPS MITELEPHE,VISWEMA,DUMMY,MITELEPHE VILLAGE,Nagaland,797127,,,,,,,,,,,
KOHIMA,13070200701,2015-16,GMS MIMA,VISWEMA,DUMMY,MIMA VILLAGE,Nagaland,797127,,,,,,,,,,,
ZUNHEBOTO,13040103201,2015-16,GPS KIYETHA,ZUNHEBOTO,ZUNHEBOTO CLUSTER,KIYETHA,Nagaland,798620,,,,,,,,,,,
ZUNHEBOTO,13040103401,2015-16,GMS  MEDICAL COLONY SURUHUTO,ZUNHEBOTO,ZUNHEBOTO CLUSTER,SURUHUTO M COLONY,Nagaland,798632,,,,,,,,,,,
ZUNHEBOTO,13040103402,2015-16,SUNRISE SCHOOL  SURUHUTO,ZUNHEBOTO,ZUNHEBOTO CLUSTER,SURUHUTO M COLONY,Nagaland,798620,,,,ChIJP4w0EZe7RzcRL17mMGwzZag,B,Pincode,798620,Sunrise School,"Suruhoto, Nagaland 798620, India",,
ZUNHEBOTO,13040103403,2015-16,MILLENIUM ENGLISH SCHOOL SURUHUTO,ZUNHEBOTO,ZUNHEBOTO CLUSTER,SURUHUTO M COLONY,Nagaland,798620,,,,,,,,,,,
TUENSANG,13020401701,2015-16,GPS KEPHOR,SHAMATOR,DUMMY,KEPHOR,Nagaland,798612,,,,,,,,,,,
MON,13010701104,2015-16,GPS SHANGNYU HQ.,MON,DUMMY,SHANGNYU,Nagaland,798621,,,,,,,,,,,
MON,13010701202,2015-16,GMS WANGLA,MON,DUMMY,WANGLA,Nagaland,798621,,,,,,,,,,,
MON,13010701302,2015-16,"LOUNG BEGINNERS' SCHOOL, LEANGHA",MON,DUMMY,LEANGHA,Nagaland,798621,,,,,,,,,,,
MON,13010701303,2015-16,GMS LEANGHA,MON,DUMMY,LEANGHA,Nagaland,798621,,,,,,,,,,,
MOKOKCHUNG,13030100503,2015-16,GPS LONGMISA OLD,MOKOKCHUNG VILLAGE,DUMMY,LONGMISA VILLAGE,Nagaland,798601,,,,,,,,,,,
MOKOKCHUNG,13030100504,2015-16,GPS JANGJANG,MOKOKCHUNG VILLAGE,DUMMY,LONGMISA VILLAGE,Nagaland,798601,,,,,,,,,,,
MOKOKCHUNG,13030100505,2015-16,GHS LONGMISA,MOKOKCHUNG VILLAGE,DUMMY,LONGMISA VILLAGE,Nagaland,798601,,,,ChIJcQqiINMJRzcRi8Ah6RcIkho,C,City,mokokchung,Longmisa Village Playground,"Mokokchung, Nagaland, India",,
MOKOKCHUNG,13030100508,2015-16,BAPTIST SCHOOL,MOKOKCHUNG VILLAGE,DUMMY,LONGMISA VILLAGE,Nagaland,798601,,,,ChIJ65FrHRaoRzcRMs5hiUwa5SU,B,Pincode,798601,Baptist English School,"Mokokchung-Tuensang Rd, Mokokchung, Nagaland 798601, India",,
DIMAPUR,13060501905,2015-16,TRINITY SCHOOL,DIMAPUR URBAN,DIMAPUR,THAHEKHU,Nagaland,797112,,,,ChIJz5SRD9UJRjcR7GQAWASWYME,A,VILLAGE_NAME,thahekhu,"Trinity School,Thahekhu","Thahekhu, Nagaland, India",,
DIMAPUR,13060403401,2015-16,GPS NIHOKHU,NUILAND,NIHOKHU,NIHOKHU,Nagaland,797112,,,,,,,,,,,
DIMAPUR,13060403701,2015-16,GPS KIYEZU 'B',NUILAND,ZHEXUCHE,KIYEZU 'B',Nagaland,797112,,,,,,,,,,,
DIMAPUR,13060403901,2015-16,GPS LUHEVI,NUILAND,P. VIHOTO,LUHEVI,Nagaland,797112,,,,,,,,,,,
DIMAPUR,13060404101,2015-16,GPS VIKHETO,NUILAND,AGHUNAQA,VIKHETO,Nagaland,797112,,,,,,,,,,,
KOHIMA,13070700202,2015-16,GRACE HR. SEC. SCHOOL ,KOHIMA URBAN,DUMMY,WARD 2 - BAYAVÜ COLONY WARD,Nagaland,797001,,,,ChIJNaXZAJshRjcRith3T4GnzJ8,C,City,kohima,GRACE HR. SEC SCHOOL,"Upper Bayav Hill, Kohima, Nagaland 797121, India",,
KOHIMA,13070700204,2015-16,GMS BAYAVÜ,KOHIMA URBAN,DUMMY,WARD 2 - BAYAVÜ COLONY WARD,Nagaland,797001,,,,,,,,,,,
KIPHIRE,13100900305,2015-16,GPS PHUVIKIU SECTOR 'B',PUNGRO,DUMMY,PHUVKIU VILLAGE,Nagaland,798611,,,,,,,,,,,
KIPHIRE,13100901701,2015-16,GPS THANAMIR,PUNGRO,DUMMY,THANAMIR,Nagaland,798611,,,,,,,,,,,
MON,13010800810,2015-16,"CAREWELL SCHOOL, NAGINIMORA",WAKCHING,DUMMY,NAGINIMORA,Nagaland,798622,,,,,,,,,,,
TUENSANG,13020400412,2015-16,GPS SHIPONG KHEL,SHAMATOR,SHAMATOR,SHAMATOR,Nagaland,798612,,,,,,,,,,,
TUENSANG,13020401408,2015-16,GPS TUJINGRU KHEL,SHAMATOR,HUKER,HUKUR,Nagaland,798612,,,,,,,,,,,
TUENSANG,13020401409,2015-16,GPS KEYANGRU KHEL,SHAMATOR,HUKER,HUKUR,Nagaland,798612,,,,,,,,,,,
PHEK,13080201404,2015-16,GPS PHUSACHODU MAIN,PFUTSERO,DUMMY,PHUSACHODU,Nagaland,797107,,,,,,,,,,,
PHEK,13080201406,2015-16,GHS. PHUSACHODU,PFUTSERO,DUMMY,PHUSACHODU,Nagaland,797107,,,,,,,,,,,
PHEK,13080100603,2015-16,BAPTIST MISSION SCHOOL,PHEK,DUMMY,PHEK VILLAGE,Nagaland,797108,,,,,,,,,,,
PHEK,13080100604,2015-16,GPS OLD TOWN PHEK,PHEK,DUMMY,PHEK VILLAGE,Nagaland,797108,,,,,,,,,,,
WOKHA,13050301201,2015-16,GPS LISHIYO,BHANDARI,DUMMY,LISHIYO,Nagaland,797111,,,,,,,,,,,
MON,13010707401,2015-16,GPS LEANGNYU CHINGLA,MON,DUMMY,LEANGNYU CHINGLA,Nagaland,798621,,,,,,,,,,,
TUENSANG,13020100610,2015-16,GPS/GMS POST OFFICE,HAKUSHANG,HAKUSHANG,TUENSANG TOWN,Nagaland,798612,,,,,,,,,,,
TUENSANG,13020100611,2015-16,GHSS TUENSANG,HAKUSHANG,HAKUSHANG,TUENSANG TOWN,Nagaland,798612,,,,ChIJ2w3Btv6bRzcRGzTz-eZ6K10,C,City,tuensang,GHSS Tuensang,"Tuensang, Nagaland, India",,
TUENSANG,13020100613,2015-16,ST. JOHN SCHOOL,HAKUSHANG,HAKUSHANG,TUENSANG TOWN,Nagaland,798612,,,,ChIJ8-PG7gCcRzcRrxNuBaN6WO0,B,Pincode,798612,St. John's School,"Tuensang, Nagaland 798612, India",,
PHEK,13080201602,2015-16,GPS KIKRUNASA,PFUTSERO,DUMMY,PFUTSERO TOWN/WARD,Nagaland,797107,,,,,,,,,,,
PHEK,13080201603,2015-16,GMS RUKIZU,PFUTSERO,DUMMY,PFUTSERO TOWN/WARD,Nagaland,797107,,,,,,,,,,,
PHEK,13080201605,2015-16,GHSS PFUTSERO TOWN,PFUTSERO,DUMMY,PFUTSERO TOWN/WARD,Nagaland,797107,,,,,,,,,,,
PHEK,13080201606,2015-16,NAZARETH SCHOOL PFUTSERO,PFUTSERO,DUMMY,PFUTSERO TOWN/WARD,Nagaland,797107,,,,ChIJ63Ez7DuCSDcRMcnw-Cdaud8,B,Locality,pfutsero,Nazareth School,"National Highway 150, Pfutsero, Nagaland 797107, India",,
WOKHA,13050100303,2015-16,GPS ENGLAN,WOKHA,CLU_ENG,ENGLAN,Nagaland,797111,,,,,,,,,,,
WOKHA,13050100304,2015-16,GHS ENGLAN,WOKHA,CLU_ENG,ENGLAN,Nagaland,797111,,,,,,,,,,,
WOKHA,13050100501,2015-16,GPS SHAKI,WOKHA,CLU_GPS SHAKI,SHAKI VILL,Nagaland,797111,,,,,,,,,,,
WOKHA,13050100601,2015-16,GPS WOKHA VILL 'A',WOKHA,CLU-GMS WOKHA 'A',WOKHA VILL,Nagaland,797111,,,,,,,,,,,
MON,13010401801,2015-16,GMS ANGPHANG,ABOI,DUMMY,ANGPHANG,Nagaland,798603,,,,,,,,,,,
MON,13010401802,2015-16,GPS ANGPHANG - A,ABOI,DUMMY,ANGPHANG,Nagaland,798603,,,,,,,,,,,
MON,13010700104,2015-16,GHS TOTOK CHINGNYU,MON,DUMMY,TOTOK CHINGNYU,Nagaland,798621,,,,ChIJHRRCotlgRzcR-LlHHsF3c-4,B,Locality,mon,Totok Chingnyu Baptist Church.,"Mon, Nagaland, India",,
LONGLENG,13090700903,2015-16,GMS TAMLU VILLAGE 'B',TAMLU,DUMMY,TAMLU VILLAGE,Nagaland,798618,,,,,,,,,,,
PHEK,13080200502,2015-16,GPS RAZEBA,PFUTSERO,DUMMY,RAZEBA,Nagaland,797107,,,,,,,,,,,
PHEK,13080202403,2015-16,JNV. ZUKETSA,PFUTSERO,DUMMY,ZUKETSA TOWN,Nagaland,797107,,,,ChIJ_3krekyDSDcR9P0FQDtYd0g,B,Pincode,797107,"Jawahar Navodaya Vidyalaya, Phek","Phek, Nagaland 797107, India",,
PHEK,13080300902,2015-16,GPS YESI,MELURI,DUMMY,YESI,Nagaland,797114,,,,,,,,,,,
